년도,분류,형태,제목,1저자,공저자,초록,키워드
,,,Norwegian hospital nurses’ satisfaction with the electronic patient record and associations with informational continuity during shift changes,Ragnhild Hellesø,Ingeborg Strømseng Sjetne,"Electronic patient records are of importance to health care providers to ensure informational continuity. Here, we present a cross-sectional study in which 5455 nurses from 35 Norwegian hospitals answered a questionnaire in relation to a study of how their work environment ? including satisfaction with the electronic patient records system in use ? impacted patient safety. The survey data was analysed to test whether satisfaction with the patient records system varied between different groups of nurses, and to assess the association between satisfaction with the electronic patient records system and the nurses’ perception of informational continuity. We found group-wise differences that indicate that the electronic patient records systems could be improved, in addition to an association between satisfaction with the system and perceived informational continuity that confirms the role of electronic patient record systems in patient safety efforts.",
,,,Nursing Informatics in New Zealand: From History to Strategy,Michelle L.L. Honey,Lucy A. Westbrooke,"As technological advances saw computers become more common, nurses in New Zealand were inspired to look for ways to harness the use of computers and other technologies to aid patient care and their practice. This paper traces the history of the development of nursing informatics in New Zealand from the earliest days in the 1980s through to the present, when nurses have leadership roles in informatics and are represented at the highest levels in national decision making, thereby influencing the development of national strategies. Nurses have developed a strong informatics profile through working collaboratively with other organizations, yet ensuring that the interests of nurses are maintained. In addition, the support from international nursing informatics pioneers and New Zealand nurses contribution to the international nursing informatics community is highlighted.",
,,,Analyzing nursing notes by cross-mapping to ICNP(International Classification for Nursing Practice) in maternity unit of one of the tertiary hospitals in Pakistan,Jungyun Hong,Rafat J. Ruknuddin,"The purpose of this study was to cross-mapped maternity nursing records with ICNP 2.0. Narrative nursing notes were collected from 25 inpatients records which were decomposed and unified into single sentence and classified as nursing phenomena, nursing intervention and contextual information. The total numbers of nursing statements were 4,263 and the redundancy rate was 10.3 times. 219 (61.3%) statements were cross-mapped completely, 137 (38.4%) statements were mapped partially and only one (0.3%) statement was not mapped.",
,,,Requirements engineering for cross-sectional information chain models,U H?bner,"E Cruel, M G?k, M Garthaus, M Zimansky, H Remmers, O Rienhoff","Despite the wealth of literature on requirements engineering, little is known about engineering very generic, innovative and emerging requirements, such as those for cross-sectional information chains. The IKM health project aims at building information chain reference models for the care of patients with chronic wounds, cancer-related pain and back pain. Our question therefore was how to appropriately capture information and process requirements that are both generally applicable and practically useful. To this end, we started with recommendations from clinical guidelines and put them up for discussion in Delphi surveys and expert interviews. Despite the heterogeneity we encountered in all three methods, it was possible to obtain requirements suitable for building reference models. We evaluated three modelling languages and then chose to write the models in UML (class and activity diagrams). On the basis of the current project results, the pros and cons of our approach are discussed.",
,,,Operationalizing TIGER NI Competencies for Online Assessment of Perceived Competency,Kathy M. Hunter,"McGonigle Dee, Toni Hebda","Competencies in nursing informatics (NI) are needed by every nurse. The TIGER Initiative published a set of NI competencies for every nurse in 2009. A research project focused on using these competencies is underway. A systematic instrument-development process is used to adapt these competencies for use in an online instrument. Results of a modified Delphi method, content-validity assessment, and pilot testing are related. Plans for ongoing research are shared.",
,,,NI2012 Classification of Reasons for Hospital Readmission,Kay R. Jansen,,"Hospital readmission is a focus of efforts to improve quality and reduce cost in our healthcare system. Use of a standard readmission classification in a clinical information system would facilitate examination and analysis of reasons for hospital readmission and provide direction for targeting interventions. The purpose of this quality improvement project was to examine coverage of reasons for readmission in three existing classification schemes compared with a “gold standard” conceptual framework. Data were obtained from five data sources about reasons for readmission for a select group of patients using a modified Institute for Healthcare Improvement (IHI) tool. Both the structure and the level of granularity of the three classifications had an impact on the classification of reasons. Between 53% and 65% of the reasons for readmission could be coded in the three readmission classifications, leaving 35% to 47% of the reasons uncoded, when compared with the conceptual framework.",
,,,Towards a Model Based Electronic Nursing Record,Niels Jansen,"Tino Bekkering, Alexander Ruber, Erik Gooskens, William T.F. Goossen","The electronic nursing record (ENR) as part of the larger electronic health record has been discussed for years. Its implementation is not that widespread as often considered. E.g. in the Netherlands, a fraction of hospitals uses it. This paper describes a nurse led project in a Dutch hospital where an electronic nursing record system has been defined, based on requirements analysis, standardization through Detail Clinical Models (DCM), and implementation. Standardization of data with DCM is a method and a format to organize clinical knowledge, concepts, and data elements such that managing and exchanging semantics of data is independent from specific technology. 28 DCM are used in the specifications of the ENR. Using the DCM standards approach and the mapping of data elements to professional terminologies enable a vendor to develop what is needed for quality care, rather then sell a fixed set product.","detail clinical models, DCM, electronic nursing record, nursing informatics, patient data, classifications"
,,,Use of the Isabel Decision Support System to Improve Diagnostic Accuracy of Pediatric Nurse Practitioner and Family Nurse Practitioner Students,Rita Marie John,"Elizabeth Hall, Suzanne Bakken","Patient safety is a priority for healthcare today. Despite a large proportion of malpractice claims the result of diagnostic error, the use of diagnostic decision support to improve diagnostic accuracy has not been widely used among healthcare professionals. Moreover, while the use of diagnostic decision support has been studied in attending physicians, residents, medical students and advanced practice nurses, the use of decision support among Advanced Practice Nurse (APN) students has not been studied. The authors have implemented the Isabel diagnostic decision support system into the curriculum and are evaluating its impact. The goals of the evaluation study are to describe the diagnostic accuracy and self-reported confidence levels of Pediatric Nurse Practitioner (PNP) and Family Nurse Practitioner (FNP) students over the course of their programs, to examine changes in diagnostic accuracy and self-reported confidence levels over the study period, and to evaluate differences between FNP and PNP students in diagnostic accuracy and self-reported confidence levels for pediatric cases. This paper summarizes establishment of the academic/industry collaboration, case generation, integration of Isabel into the curriculum, and evaluation design.",
,,,Internet and Social Network Recruitment: Two Case Studies,Kathy A. Johnson,Jane Peace,"The recruitment of study participants is a significant research challenge. The Internet, with its ability to reach large numbers of people in networks connected by email, Facebook and other social networking mechanisms, appears to offer new avenues for recruitment. This paper reports recruitment experiences from two research projects that engaged the Internet and social networks in different ways for study recruitment. Drawing from the non-Internet recruitment literature, we speculate that the relationship with the source of the research and the purpose of the engaged social network should be a consideration in Internet or social network recruitment strategies.",
,,,A Nurse’s Eye-View on Health Literacy in Older Adults,Lisa A. Matthews,"Alisabeth L. Shine, Leanne Currie, Connie V. Chan, David R. Kaufman","Older adults are being asked to play a more active role in the management of their health, however low health literacy is pervasive in this population and is a major impediment to participation in healthcare activities. We sought to identify literacy-related challenges that older adults experience while managing their health. We interviewed 8 nurses who provided direct care to older adult populations. Thematic analysis was conducted exploring barriers, strategies and resources as they relate to health literacy in older adults. Three main themes were identified: literacy barriers, aging process and social resources. Problems associated with health literacy in this population were pervasive. Numeracy, a component of health literacy, was a central factor for a range of medication management problems. However, nurses reported that they were able to fashion solutions that enabled patients to comprehend quantitative information and act on it accordingly, resulting in better health management.",
,,,Development of an Observational Tool to Measure Nurses’ Information Needs,Tiffany F. Kelley,Debra Brandon,"Nurses collect, communicate and store patient information needed for care through verbal, handwritten and electronic information sources. However, the specific categories of nurses’ information needs for the care of hospitalized patients remain unknown. The purpose of this study was to identify the categories of nurses’ information needs and develop an observational tool to measure the information needs through available information sources. We analyzed qualitative data from interview transcripts and conducted direct observations of nurses to identify a total of 17 categories of nurses’ information needs when caring for hospitalized patients. Once identified, we developed an observational tool to quantitatively measure the category of information need, whether the information need was collected and communicated, and through which information source. Future studies will be able to measure the gathering and communication of information needs through direct observation.",
,,,Pictogram Evaluation and Authoring Collaboration Environment,Hyeoneui Kim,"Dorothy Tamayo, Michael Muhkin, Jaemin Kim, Julius Lam, Lucila Ohno-Machado, Eliah Aronoff-Spencer","Studies showed benefits of using pictograms in health communication such as improved recall and comprehension of health instructions. Pictograms are culturally sensitive thus need to be rigorously validated to ensure they convey the intended meaning correctly to the targeted population. The infeasibility of manually creating pictograms and the lack of robust means to store and validate pictograms are potential barriers to the wider adoption of pictograms in health communication. To address these challenges, we created an open access web-based tool, PEACE (Pictogram Evaluation and Authoring Collaboration Environment) as a part of SHINE (Sustainable Health Informatics and Networking Environment) initiatives. We report the development process and the preliminary evaluation results of PEACE in this paper.",
,,,GEROM ? Developing a Contemporary On-line Master’s Degree Curriculum in Gerontology,Peter Kokol,Helena Bla?un,"Demographic changes have profoundly influenced the structure of present and future populations in terms of the number of older people requiring nursing care, the nature and settings of the nursing care provided, and finally, each individual, e. g., nursing care providers. The aim of the paper is to present the results of the EU Erasmus project GEROM, which, among other things, resulted in an on-line gerontological master’s degree curriculum which is globally focused, flexible, innovative, diverse, contemporary and ICT-based. It focuses on meeting the needs of older people and their carers. An innovative aspect in the curriculum implementation is a virtual environment for clinical practice, enabling students to practice clinical and nursing interventions and diagnosing on-line, based on an adaptive, individualized and personalized blended-learning approach. During the pilot implementation of three randomly selected subjects, the students evaluated the program and were satisfied with both content and implementation.",
,,,Interactive Voice Response Technology: A Tool for Improving Healthcare,Margaret Ross Kraft,Ida Androwich,"The integration of telephony with computers has created interactive voice response technology that has begun to have many applications for healthcare. This technology has to turned touch-tone phones into virtual computer terminals. A number of IVRT applications have been developed with nursing involvement. Research on IVRT use shows major applications dealing with chronic disease management, medication management and the care of special populations.. It will be up to Nurse Informaticists to develop and test creative uses for IVRT that will both leverage technology and improve patient care. Use of the IVRT provides opportunities to educate as well as to monitor individuals on their self-management behaviors. As an understanding of the uses of IVRT in patient care grows, it will offer added value to healthcare services.",
,,,A Newborn Baby Care Support App and System for mHealth,Ming-Chuan Kuo,"Yen-Chiao Lu, Polun Chang","This study was to develop a usability-engineered mhealth application for a mother with new-born baby and to evaluate its acceptance. Baby’s Health Handbook and hospital consultation service records were analyzed to design the contents of app. Special interface design principles were used for enhancing usability. App data were transmitted to an Excel-based server for management. Systems were evaluated in a 800-bed medical center in Taiwan with a questionnaire designed based on the Technology Acceptance Model for Mobile Service. 64 post-partum women were invited to use and evaluate the system and services at the next day after babies were delivered. The evaluation results indicated an overall satisfying perception with an average of 3.98(SD=0.71). The subjects perceived the system meeting their expectations, needs and the majority were willing to pay for service up to $6 per month. The mhealth appears having a great potential as an important health service model.","New-born, Post-partum, App, mHealth, Usability"
,,,The National Nursing Model from the Nursing Practice Perspective ? Results from a Finnish Evaluation Study,Anne Kuusisto,"Johanna Kaipio, Pirkko Nyk?nen","The objective of this study was to evaluate the feasibility of the national nursing model in Finland. The feasibility evaluation was carried out with nurses using interviews and patient case scenarios in primary, specialized and private healthcare. The nursing process model showed to be feasible in nursing practice but the current national nursing classification (FinCC) was considered to be too detailed, multi-layered and difficult to understand and use. Overall, electronic nursing documentation improves the legal protection of patients and health professionals and makes nursing care transparent, but the nursing documentation systems do not support multi-professional care or information exchange. This study resulted in that the nursing model should conform better to nursing practices and support better nurses in their care interventions. An essential improvement for nursing practice would be specific templates that are easy to apply in specific situations with homogenous patient groups.","Nursing practice, nursing documentation, nursing classification, nursing documentation system"
,,,"Biblioteca Virtual de Salud Enfermer?a Regional: Trayectoria de Construcci?n, Fuentes de Informaci?n, Estrategias y Pr?ximos Pasos.",Francisco C. F. Lana,Silvina Malv?rez,"La BVS Enfermeria constituye un nuevo paradigma en enfermer?a una vez que o modelo representa una expansi?n de la cooperaci?n t?cnica y ha como objetivos centrales promover la ampliaci?n del acceso la informaci?n sobre enfermer?a la trav?s del acceso universal equitativo y construir un patrimonio informacional en enfermer?a, ayudando la mejorar la formaci?n y pr?ctica de enfermer?a a actuar con compromiso ?tico-social en el ?rea de educaci?n, investigaci?n y atenci?n a la salud. Como resultado del proceso de sensibilizaci?n, verifica-se la construcci?n de Bibliotecas Virtuales de Enfermer?a en varios pa?ses (Brasil, Argentina, Bol?via y Uruguay). La expectativa es que las BVS’s nacionais convergen a un gran portal que se est? construyendo en una colaboraci?n con BIREME/OPS/OMS, de la Asesor?a Regional de Enfermer?a de la OPS-Washington y de Ministerio de Salud del Brasil, as? como instituciones l?deres en la producci?n del conocimiento en enfermer?a Iberoam?rica.",
,,,Predictors of Health Information-Seeking Behaviors in Hispanics,Young Ji Lee,"Bernadette Boden-Albala, Leigh Quarles, Adam Wilcox, Suzanne Bakken","The objective of this study was to examine factors predicting use of the Internet to seek health information among Hispanics in the Washington Heights and Inwood areas of New York City. Data were collected by community health workers through the Washington Heights/Inwood Informatics Infrastructure for Community-Centered Comparative Effectiveness Research (WICER) community survey and a random sample of 100 surveys was selected for analysis. Binary logistic regression (N=100) was used to examine predictors of online health information-seeking behaviors (HISBs) of respondent and household members (dependent variables). Younger age, better health status, and higher education level significantly predicted respondents’ HISBs. Respondents’ health status and education level also significantly predicted household members’ HISBs.",
,,,Cross-mapping the Finnish Care Classification and the Oulu Patient Classification,Pia Liljamo,Kaija Saranto,"The purpose of this paper is to describe the process of cross-mapping and validating the Finnish Care Classification, FinCC and the Oulu Patient Classification, OPC measurement tool for patient care intensity. The process will be carried out with two expert panels. This will result a cross-mapped classification system to use be used in every electronic patient record systems in Finland.",
,,,A comparison between expositive and simulation classes in the education of undergraduate nursing students,Tania Oliveira Lopes,Helo?sa Helena Ciqueto Peres,"This experimental study was aimed to compare the effectiveness of classroom dialogue-and a lesson in teaching the simulated recognition of signs and symptoms of stroke and clinical decisions, evaluating student satisfaction regarding the use of teaching strategies supported by new technologies. This research will provide understanding of how technology can support education Stroke, which is the third leading cause of death in the world.",
,,,Developing Self-Management Tools with Vulnerable Populations for use in Personal Health Information Management Systems,Robert J. Lucero,"Barbara Sheehan, Po-Yin Yen, Olivia Velez, Diana L. Nobile-Hernandez, Victoria L. Tiase, Suzanne Bakken",Vulnerable populations have potential to be significant partners and informants in the development of health information technology. We describe our experience in conducting human-centered participatory design methods with community-dwelling elders in the development of a computer-based falls prevention self-management tool for use in a personal health information management system. Community-dwelling elders contributed significantly to understanding appropriate content and functions; task performance; and graphical representations that should be considered in designing our self-management tool. Design participants should include those who have and have not experienced the clinical condition being considered during the process of system development. Knowledge transfer between system developers and community members about health and personal safety issues can be facilitated through human-centered participatory design methods.,
,,,Standardised electronic information exchange between nurses in home care and GPs ? the medication information processes,Merete Lyngstad,"Line Melby, Ragnhild Hellesø","Improving the transfer of medication information between home care nurses and patient’s general practitioners (GP) is assessed as essential for ensuring safe care. In this paper, we report on a Norwegian study in which we investigated how home care nurses experienced using standardised electronic messages in their communication with the GPs. Standardised electronic solutions were developed and implemented to resolve gaps in the medication information processes when patients received nursing care in their homes. Data was collected combining focus group interviews and individual interviews with nurses from home care in two municipalities in Norway. The data was analysed using systematic text condensation. We found that the nurses reported mostly advantages, but also some disadvantages regarding accuracy, consistency, availability and efficiency in the medication information process when they used standardised electronic messages. Efforts to refine the electronic messages to achieve better work processes and patient safety should be addressed.",
,,,EHR Implementation: One Organization’s Road to Success,Alison MacDonald,Sanaz Riahi,"This paper describes Ontario Shores Centre for Mental Health Sciences’ successful journey in the implementation of a fully integrated single proprietary solution health care information system over approximately 22 months. The paper describes the various phases involved, the approach for implementation, lessons learned throughout the process and the organization’s future plans for optimization.",
,,,What Do Users Want From “Smart” Wheelchairs?,Elizabeth A. Madigan,Wyatt S. Newman,"Technological advances have made it possible to integrate a variety of functions into “smart” wheelchairs that include robotics but also sensors that support telehealth and communication applications. The purpose of this study was to identify possible features that current older adult wheelchair users identify as being most helpful and most important and to use scenarios to determine acceptability of potential features. A small pilot study including 5 wheelchair users residing an assisted living facility was conducted that included a questionnaire and a focus group. The participants identified safety-related features as most helpful and important. Within the scenarios presented, the safety-related features were identified as highly acceptable. Features that were available with current technology (e.g. communication with family) were least highly rated. While more research is needed on user preferences, “smart” wheelchair developers will want to include user preferences and focus on safety and telehealth features.",
,,,A Study on Visualizing the Twist and the Load on the Lumbar Region in Nursing Care,Yasuko Maekawa,"Akira Shiozaki, Yukie Majima","Most nurses suffer from lower back pain (LBP). The load on the lumbar region in nursing practice depends on patient's condition and situation. So we regard it as the load of nursing practice, and suggest visualizing the load on the lumbar region for nursing management. This study focuses on “twist” which is one of factors of LBP. We measured the twist angle of the lumbar region and the surface electromyogram (EMG) in three methods of transferring a patient from a bed to a wheelchair. Experimental subjects were seven women in their 20s and 30s who had learned the transferring technique. Measurement was performed using TRIAS system software (DKH Co., Ltd., Japan). The obtained signal data were analyzed using software (Matlab; The MathWorks, Inc.). We compared three methods, each of which was divided into four motions according to the experimental purpose. Results of visualizing the differences of the load on the lumbar region by twist angle, twist angular velocity and twist angular acceleration in each method could indicate nursing practice of the less load.",
,,,Developing a Conceptual Map of Patient Information Needs in Prostate Cancer Screening,Roxana M. Maffei,,"As the prevalence of shared decision-making increases as part of the patient-clinician relationship, patient needs for information become critical aspects of preventative care and treatment decisions. It has been shown that patients who have relevant information about healthcare options make choices and decisions which are more consistent with their personal values. This is especially useful when considering the various options regarding prostate cancer screening, (PCS). PCS remains extremely controversial given the uncertainty and lack of conclusive scientific evidence regarding the consequences of having the prostate specific antigen (PSA) test. It is vital that men are fully informed of the possible ramifications of the PSA test. The purpose of this study was to identify the information needs of male patients in PCS situations in primary care medical encounters. A deductive qualitative analysis was applied to uncover reoccurring themes and critical information presented by the subjects during conversations regarding PCS. From this analysis, a preliminary conceptual map was created in order to identify and understand the levels of information needed for patients to make informed PCS decisions. Future use and development of this map may improve PCS decisions by providing a structural approach to understanding the primary issues and implications of PCS for both the patient and clinician.",
,,,Learning Support System Reproducing Finger Movements in Practicing Nursing Techniques,Yukie Majima,"Yasuko Maekawa, Masato SOGA","Heretofore, “skill proficiency” in nursing techniques has only been developed through experience. To pass that technical proficiency down to later generations, this study is intended to build a learning support system using virtual reality by reproducing finger movements used in practicing nursing techniques. For practicing blood drawing techniques, we earlier developed a prototype system that uses a finger motion capture system to acquire finger position data when a syringe is grasped. It uses the acquired data to reproduce the process of the techniques three-dimensionally. This paper outlines the prototype system and reports its effectiveness for learning after examining results of a demonstration experiment for nursing students.",
,,,One Size Does Not Fit All: EHR Clinical Summary Design Requirements for Nurses,Sharon McLane,James P. Turley,"Research has established the pivotal role of cognitive artifacts to human information visualization, the reduction of memory load, and critical thinking. A long-standing nursing practice is the development of a personal cognitive artifact that summarizes the clinical condition and plan of care for the patient(s) in the care of the nurse. Distributed cognition establishes the importance of the role of cognitive artifacts to the cognition of each individual. A feature/function of electronic health record applications is to supply a real-time clinical overview of a patient’s clinical condition and care needs, which is often referenced as a patient clinical summary. Research regarding the requirements of electronic clinical summaries to support clinician cognition has not been reported to date.?This paper reports the results of initial research to establish foundational principles for the development of EHR patient clinical summaries that support the cognition and critical thinking of the registered nurse.",
,,,Federal Commitment: Transparency and Collaboration in the United States,Lynn McQueen,Zaynab Major,"Federal agencies within the United States (US) are contributing to global advancement of Health Information Technology (HIT) through strategic goals and alignment of priorities. The US Department of Health and Human Services (DHHS) is helping transform HIT as part of health reform efforts. Each DHHS agency participates in ways that are increasingly transparent. The Substance Abuse and Mental Health Services Administration (SAMHSA) contributes through performance measurement and reporting activities. Nurses are key players as automated tools promote optimal outcomes. Nurses assure the accurate performance measurement by promoting integration within systematic safety and quality improvement efforts. Disclaimer: This paper represents the opinions of the authors and does not represent official positions of the United States (US) Government, the US Department of Health and Human Services, or the Substance Abuse and Mental Health Administration.",
,,,Breastfeeding Practice Lab: a New Approach to Telenurse Education,Wendy A. Miller,Kate Kinahan,"Breastfeeding inquiries represent a significant number of calls to HealthLink BC (HLBC). As Telenurses have indicated a great deal of uncertainty and a degree of disparity in practice, findings from previous research revealed a need to expand Telenurse breastfeeding education and a need for a new education delivery approach. This paper will describe the new education approach, an approach that included development of a practice lab framework and development of the first activity based on this framework ? The Breastfeeding Practice Labs. The labs were set-up with six different 30 minute stations designed for independent or group learning, and created to stimulate critical thinking. Each lab was three hours and could also easily accommodate “drop-ins”. The goal of the Breastfeeding Practice Labs was to enhance Telenurse knowledge, skills, and confidence for assessing breastfeeding calls. Post evaluation results of the pilot labs revealed positive shifts in Telenurse confidence for assessing breastfeeding calls.",
,,,Efecto del Programa de Entrenamiento “Manejo del Dolor” en la Documentaci?n de Enfermer?a en el Expediente Electr?nico,Mar?a Guadalupe Moreno Monsiv?is,"Ma. Guadalupe Interial Guzm?n, Paz Francisco Sauceda Flores, Leticia V?zquez Arreola","En el presente trabajo se muestra la importancia de entrenar al personal de enfermer?a para mejorar la documentaci?n en el expediente electr?nico. Se eligi? el manejo del dolor por ser un ?rea prioritaria; una alta proporci?n de pacientes en per?odo post operatorio cursa con dolor, por lo tanto, la documentaci?n debe ser ?til para la toma de decisiones cl?nicas. Se implement? un programa de entrenamiento denominado “Manejo del Dolor” dirigido al personal de enfermer?a. Se utiliz? la tecnolog?a de la informaci?n como herramienta para fortalecer el conocimiento con base en la revisi?n sistem?tica de la literatura; el personal de enfermer?a participante seleccion? la mejor evidencia; posteriormente se trabaj? en la transferencia de este conocimiento a la pr?ctica a trav?s del dise?o de un protocolo para el manejo del dolor. Se concluye que el conocimiento del manejo del dolor es fundamental para que enfermer?a documente con mayor precisi?n sus intervenciones.",
,,,Nursing audit as a method for developing nursing care and ensuring patient safety,Minna Mykk?nen,"Kaija Saranto, Merja Miettinen","Nursing documentation is crucial to high quality, good and safe nursing care. According to earlier studies nursing documentation varies and the nursing classifications used in electronic patient records (EPR) is not yet stable internationally nor nationally. Legislation on patient records varies between countries, but they should contain accurate, high quality information for assessing, planning and delivering care. A unified national model for documenting patient care would improve information flow, management between multidisciplinary care teams and patient safety. Nursing documentation quality, accuracy and development needs can be monitored through an auditing instrument developed for the national documentation model. The results of the auditing process in one university hospital suggest that the national nursing documentation model fulfills nurses’ expectations of electronic tools, facilitating their important documentation duty. This paper discusses the importance of auditing nursing documentation and especially of giving feedback after the implementation of a new means of documentation, to monitor the progress of documentation and further improve nursing documentation.",
,,,Health 2.0 and Implications for Nursing Education,Ramona Nelson,,"Over the last 20 years the evolution of web browsers providing easy access to the Internet has initiated a revolution in access to healthcare related information for both healthcare providers and patients. This access has changed both the process used to deliver education and the content of the nursing education curriculum worldwide. Our amazing ability to access information around the world is referred as to Web 1.0. Web 2.0 moves beyond access to a world where users are interactively creating information. With the advent of Health 2.0 we are confronting a second revolution that is challenging all aspects of healthcare including all aspects of nursing. This paper explores the concept of Health 2.0, discusses a conceptual framework approach for integrating Health 2.0 content into the nursing curriculum, outlines examples of key concepts required in today’s nursing curriculum and identifies selected issues arising from the impact of Health 2.0.",
,,,An Electronic Patient Risk Communication Board,Kumiko Ohashi,"Christine A. Caligtan, Angela N. Benoit, Eugene M. Breydo, Diane L. Carroll, Carol A. Keohane, David W. Bates, John S. Dykes, Patricia C. Dykes","Communication failures have been identified as the root cause of the majority of medical malpractice claims and patient safety violations. We believe it is essential to share key patient risk information with healthcare team members at the patient’s bedside. In this study, we developed an electronic Patient Risk Communication Board (ePRCB) to assist in bridging the communication gap between all health care team members. The goal of the ePRCB is to effectively communicate the patient’s key risk factors, such as a fall risk or risk of aspiration, to the healthcare team and to reduce adverse events caused by communication failures. The ePRCB will transmit patient risk information and tailored interventions with easy-to-understand icons on an LCD screen at the point of care. A set of patient risk reminder icons was developed and validated by focus groups. We used the results of the evaluation to refine the icons for the ePRCB.",
,,,Evaluation of a System of Electronic Documentation for the Nursing Process,Neurilene Batista de Oliveira,Heloisa Helena Ciqueto Peres,"The objective of this study is to evaluate the functional performance and the technical quality of an electronic documentation system designed to document the data of the Nursing Process. The Model of Quality will be the one established by the ISO/IEC 25010. Such research will allow the spreading of the knowledge of an emerging area, thus adding a further initiative to the growing efforts made in the information technology area for health and nursing.",
,,,Use of Narrative Nursing Records for Nursing Research,Hyeoun-Ae Park,"InSook Cho, Hee-Jung Ahn","To explore the usefulness of narrative nursing records documented using a standardized terminology-based electronic nursing records system, we conducted three different studies on (1) the gaps between the required nursing care time and the actual nursing care time, (2) the practice variations in pressure ulcer care, and (3) the surveillance of adverse drug events. The narrative nursing notes, documented at the point of care using standardized nursing statements, were extracted from the clinical data repository at a teaching hospital in Korea and analyzed. Our findings were: the pediatric and geriatric units showed relatively high staffing needs; overall incidence rate of pressure ulcer among the intensive-care patients was 15.0% and the nursing interventions provided for pressure-ulcer care varied depending on nursing units; and at least one adverse drug event was noted in 53.0% of the cancer patients who were treated with cisplatin. A standardized nursing terminology-based electronic nursing record system allowed us to explore answers to different various research questions.","Computerized patient records, Nursing records, ICNP, Staffing needs, Practice variation, Adverse drug event"
,,,Applying Observations from Technological Transformations in Complex Adaptive Systems to Inform Health Policy on Technology Adoption,Andrew B. Phillips,Jacqueline Merrill,"Many complex markets such as banking and manufacturing have benefited significantly from technology adoption. Each of these complex markets experienced increased efficiency, quality, security, and customer involvement as a result of technology transformation in their industry. Healthcare has not benefited to the same extent. We provide initial findings from a policy analysis of complex markets and the features of these transformations that can influence health technology adoption and acceptance.",
,,,CORDIET - Healthcare: Extracting knowledge from electronic patient record data,Jonas Poelmans,"Herman Van der Mussele, Gerda Verheyden, Stijn Viaene, Guido Dedene, Sergei Kuznetsov, Alexei Neznanov","In this paper we propose the software system CORDIET-Healthcare which we are currently developing in collaboration with the Katholieke Universiteit Leuven, Moscow Higher School of Economics and the GZA-hospital group located in Antwerp. The main aim of this system is to offer healthcare management staff a user-friendly and powerful data analysis environment. Using state of the art techniques from computer science and mathematics we show how CORDIET-Healthcare can be used to gain insight in existing care processes and reveal actionable knowledge which can be used to improve the current way of working.",
,,,Advancing Information and Communication Technology Knowledge for Undergraduate Nursing Students,Paula M Procter,,Nursing is a dynamic profession; for registered nurses their role is increasingly requiring greater information process understanding and the effective management of information to ensure high quality safe patient care. This paper outlines the design and implementation of Systems of eCare. This is a course which advances information and communication technology knowledge for undergraduate nursing students within a Faculty of Health and Wellbeing appropriately preparing nurses for their professional careers. Systems of eCare entwines throughout the three year programme mapping to the curriculum giving meaning to learning for the student. In conclusion comments from students convey their appreciation of the provision of this element of the undergraduate programme.,
,,,Supporting Nurses’ Decisions with a Multi-Attribute Model for Patient Health Evaluation,Uro? Rajkovi?,"Dejan Dinevski, Olga ?u?ter?i?, Vesna Prijatelj, Vladislav Rajkovi?","Nurses are required to make many important decisions, for instance on determining the level of the nursing problem, setting nursing diagnoses and interventions. The model presented in this paper is a tool for better and easier decision making is such situations. Multi-attribute modeling of patients’ basic living activities is used for evaluation and explanation of their health status. It offers also visualization and quantification of the data which facilitate decision making in the framework of the process work method. The model can be viewed as an active check-list as it helps us reduce the possibility of “overlooking the queen on the chess board”. The model was critically evaluated in practice.","Decision support for nurses, Multi-attribute modeling, Basic living activities, Patient’s health status"
,,,DIGITAL CLINICAL DATA:?A Contribution of Instituto Traumatologico de Santiago de Chile to Hospital Management,Mario Reyes,Mario Molina,"Instituto Traumatol?gico developed an innovative project to gather clinical data in a digital format, thus generating the information necessary to make decisions. The ultimate goal of the project is to provide our patients with the best attention possible. The impact of incorporating health care informatics to a hospital’s daily routine is profound, especially when those who are in charge of change have not learned about this topic or encouraged their students to incorporate new technologies to their work. The results of this project become even more significant when it is implemented in Latin American public hospitals, where the resources invested in technology are scarce. The success of this project could be considered a case of study for the region and the country. Although many efforts and resources have been invested in systematizing information, few cases have shown positive results. This project started with the systematization of the process of attention at the Emergency Department and the adaptation of the Emergency Information System. Once the implementation of this system was over, the project was applied to install the Polyclinic Information System, and Hospitalization Information Systems. The Electronic Health Record includes interfaces for specialties such as upper limbs, spine, hips and lower limbs, which makes it easier for specialists to handle the required information. The large amount of recollected data has been translated into statistic charts and indicators, which support the administration processes that take place in intermediate and superior areas of the Institute.","Health Informatics, Health Informatics Education, Medical Informatics System, Clinical Informatics System, Health Informatics System"
,,,"Nursing Portal; a Nursing Informatics Solution for Iran, Lessons Learned from a Comparative Study",Reza Safdari,"Niloufar Masoori, Mashaallah Torabi, Mohammad A. Cheraghi, Ahmadreza farzananejad, Zahra Azadmanjir","The nursing portal is an informatics solution in which services and capabilities supports the nursing staff in their practices and professional development with respect to the existing challenges for use of Internet by nurses at work. It can be considered as a creditable gateway for quick access to research-based evidence provided by reliable resources. Also it provide interactive virtual environment for knowledge exchange with experts or colleagues in different geographical area. Through a comparative study on specialized nursing portals in Iran and other three countries, the aim of this paper is defining desired content and structural specifications of nursing portals which support the practice of nurses in the workplace. Based on results of the present study, a set of recommendations provide for development of a comprehensive nursing portal in Iran.",
